country,year,cancer_site,icd10_code,route_to_diagnosis,percent_of_known_routes_stage_i,percent_of_known_routes_stage_iv,count_stage_i,count_stage_iv,statement,source,source_link
England,2019,All Cancers Combined,"C00-C43, C45-C97",Screening,0.636552667578659,0.0210670314637483,11633,385,"In England, for people diagnosed with cancer via national screening programmes, 63.7% (around 11,600) of cancers were diagnosed at stage I compared to 2.1% (around 390) at stage IV.","NDRS, NHS England",https://nhsd-ndrs.shinyapps.io/routes_to_diagnosis/
England,2019,All Cancers Combined,"C00-C43, C45-C97",Two Week Wait,0.330726602717376,0.201702813956323,35271,21511,"In England, for people diagnosed with cancer by urgent GP two-week wait reeferral for suspected cancer symptoms, 33.1% (around 35,300) of cancers were diagnosed at stage I compared to 20.2% (around 21,500) at stage IV.","NDRS, NHS England",https://nhsd-ndrs.shinyapps.io/routes_to_diagnosis/
England,2019,All Cancers Combined,"C00-C43, C45-C97",GP Referral,0.407565498969679,0.223327305605787,19383,10621,"In England, for people diagnosed with cancer by routine or urgent GP referral (non-two-week wait), 40.8% (around 19,400) of cancers were diagnosed at stage I compared to 22.3% (around 10,600) at stage IV.","NDRS, NHS England",https://nhsd-ndrs.shinyapps.io/routes_to_diagnosis/
England,2019,All Cancers Combined,"C00-C43, C45-C97",Emergency Presentation,0.13878369976827,0.55095235403832,4911,19496,"In England, for people diagnosed with cancer in an emergency, via emergency GP transfer to hospital as a hospital patient or via A&E, 13.9% (around  4,900) of cancers were diagnosed at stage I compared to 55.1% (around 19,500) at stage IV.","NDRS, NHS England",https://nhsd-ndrs.shinyapps.io/routes_to_diagnosis/
England,2019,All Cancers Combined,"C00-C43, C45-C97",Other,0.362460703058017,0.27139897113461,10146,7597,"In England, for people diagnosed with cancer via other routes, 36.2% (around 10,100) of cancers were diagnosed at stage I compared to 27.1% (around  7,600) at stage IV.","NDRS, NHS England",https://nhsd-ndrs.shinyapps.io/routes_to_diagnosis/
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",Emergency Presentation,0.114814814814815,0.555555555555556,186,900,"In Northern Ireland, for people diagnosed with cancer in an emergency, via emergency GP transfer to hospital as a hospital patient or via A&E, 11.5% (around 190) of cancers were diagnosed at stage I compared to 55.6% (around 900) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",GP Referral,0.447337278106509,0.188757396449704,756,319,"In Northern Ireland, for people diagnosed with cancer by routine or urgent GP referral (non-two-week wait), 44.7% (around 760) of cancers were diagnosed at stage I compared to 18.9% (around 320) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",Inpatient Elective,0.301075268817204,0.354838709677419,56,66,"In Northern Ireland, for people diagnosed with cancer via inpatient elective, 30.1% (around 55) of cancers were diagnosed at stage I compared to 35.5% (around 65) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",Other Outpatient,0.431842966194111,0.201744820065431,396,185,"In Northern Ireland, for people diagnosed with cancer via other outpatient, 43.2% (around 400) of cancers were diagnosed at stage I compared to 20.2% (around 190) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",Screening,0.616942909760589,0.0165745856353591,335,9,"In Northern Ireland, for people diagnosed with cancer via national screening programmes, 61.7% (around 340) of cancers were diagnosed at stage I compared to 1.7% (around 10) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",Suspected Cancer (Red Flag),0.335671342685371,0.188042752171009,1005,563,"In Northern Ireland, for people diagnosed with cancer via suspected cancer (red flag), 33.6% (around 1,000) of cancers were diagnosed at stage I compared to 18.8% (around 560) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
Northern Ireland,2018-2020,All Cancers Combined,"C00-C43, C45-C97",Unknown,0.42512077294686,0.265700483091787,88,55,"In Northern Ireland, for people diagnosed with cancer via unknown routes, 42.5% (around 90) of cancers were diagnosed at stage I compared to 26.6% (around 55) at stage IV.","Northern Ireland Cancer Registry, Queen's University Belfast",https://www.qub.ac.uk/research-centres/nicr/FileStore/PDF/NIrelandReports/Routes%20to%20diagnosis%20report%202024-03-12_FINAL-compressed.pdf
